,_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,SLBMH_TOT_VAL,VWAP,mTIMESTAMP,CA,symChange
0,65c613de2ce7cc3ec07731a0,GMRINFRA,EQ,N,90.55,84.2,90.3,88.85,88.5,90.15,35007959,3057407791.2,92.55,36.8,68976,INE776C01039,2024-02-09,2024-02-08T18:30:00.000Z,2024-02-09T12:00:30.259Z,2024-02-09T12:00:30.259Z,0,,87.33,09-Feb-2024,,
1,65ca085d3d2c61c7ee71c2ce,GMRINFRA,EQ,N,89.3,84.75,89.25,85.6,85.45,88.85,25142104,2174289710.65,92.55,36.8,52987,INE776C01039,2024-02-12,2024-02-11T18:30:00.000Z,2024-02-12T12:00:29.986Z,2024-02-12T12:00:29.986Z,0,,86.48,12-Feb-2024,,
2,65cb59dcc77ecab986d058b9,GMRINFRA,EQ,N,91.15,85.8,89.45,89.85,89.95,85.6,85283123,7577539283.55,92.55,36.8,136141,INE776C01039,2024-02-13,2024-02-12T18:30:00.000Z,2024-02-13T12:00:28.297Z,2024-02-13T12:00:28.297Z,0,,88.85,13-Feb-2024,,
3,65ccab7fb3b7cee94bb064a6,GMRINFRA,EQ,N,90.8,87.8,88.25,89.85,90.45,89.85,34239889,3074909844.35,92.55,36.8,72248,INE776C01039,2024-02-14,2024-02-13T18:30:00.000Z,2024-02-14T12:01:03.097Z,2024-02-14T12:01:03.097Z,0,,89.8,14-Feb-2024,,
4,65cdfcff0b93c6793ba3e8f8,GMRINFRA,EQ,N,91.7,89.1,90.6,90.35,90.35,89.85,31048461,2800088441.2,92.55,36.8,62619,INE776C01039,2024-02-15,2024-02-14T18:30:00.000Z,2024-02-15T12:01:03.510Z,2024-02-15T12:01:03.510Z,0,,90.18,15-Feb-2024,,
5,65cf4e7e61aab0774d35b01c,GMRINFRA,EQ,N,91.2,88.65,90.85,89.25,88.75,90.35,38111593,3428775516.15,92.55,36.8,63085,INE776C01039,2024-02-16,2024-02-15T18:30:00.000Z,2024-02-16T12:01:03.006Z,2024-02-16T12:01:03.006Z,0,,89.97,16-Feb-2024,,
6,65d39093c64559bd8f410017,GMRINFRA,EQ,N,92.85,87.75,89.8,92.1,92.4,89.25,51843868,4729182395.4,92.85,36.8,91507,INE776C01039,2024-02-19,2024-02-18T18:30:00.000Z,2024-02-19T17:32:03.378Z,2024-02-19T17:32:03.378Z,0,,91.22,19-Feb-2024,,
7,65d4945d64fbe6f723b14c48,GMRINFRA,EQ,N,94.35,89.85,92.6,90.6,90.15,92.1,56491851,5213104333.4,94.35,36.8,98397,INE776C01039,2024-02-20,2024-02-19T18:30:00.000Z,2024-02-20T12:00:29.951Z,2024-02-20T12:00:29.951Z,0,,92.28,20-Feb-2024,,
8,65d5e5fff1fbe8e7f6d9ce8f,GMRINFRA,EQ,N,90.9,84.55,90.9,86.25,86.3,90.6,63802448,5547156661.5,94.35,36.8,115132,INE776C01039,2024-02-21,2024-02-20T18:30:00.000Z,2024-02-21T12:01:03.563Z,2024-02-21T12:01:03.563Z,0,,86.94,21-Feb-2024,,
9,65d7377f42995682861e45ce,GMRINFRA,EQ,N,88.3,84.75,86.85,87.65,87.8,86.25,29169629,2533694766.1,94.35,36.8,60970,INE776C01039,2024-02-22,2024-02-21T18:30:00.000Z,2024-02-22T12:01:03.397Z,2024-02-22T12:01:03.397Z,0,,86.86,22-Feb-2024,,
10,65da41642fa2c80c60110d47,GMRINFRA,EQ,N,89.65,87.75,88.25,88.35,87.85,87.65,25843128,2290838252.8,94.35,36.8,50337,INE776C01039,2024-02-23,2024-02-22T18:30:00.000Z,2024-02-24T19:20:04.328Z,2024-02-24T19:20:04.328Z,0,,88.64,23-Feb-2024,,
11,65dc7d5c18353a15cfb0a676,GMRINFRA,EQ,N,89.6,87.1,88.8,87.65,87.5,88.35,39761640,3514731792.35,94.35,36.8,69311,INE776C01039,2024-02-26,2024-02-25T18:30:00.000Z,2024-02-26T12:00:28.716Z,2024-02-26T12:00:28.716Z,0,,88.4,26-Feb-2024,,
12,65ddcededc3d5b40c3c1f43a,GMRINFRA,EQ,N,88.4,85.4,87.9,85.75,85.95,87.65,75427795,6537608223.2,94.35,36.8,97532,INE776C01039,2024-02-27,2024-02-26T18:30:00.000Z,2024-02-27T12:00:30.380Z,2024-02-27T12:00:30.380Z,0,,86.67,27-Feb-2024,,
13,65df207f3ab4615b7638787d,GMRINFRA,EQ,N,87.5,84.0,86.25,84.4,84.45,85.75,47472979,4068181808.8,94.35,36.8,78356,INE776C01039,2024-02-28,2024-02-27T18:30:00.000Z,2024-02-28T12:01:03.563Z,2024-02-28T12:01:03.563Z,0,,85.69,28-Feb-2024,,
14,65e071ff79a06978a17fc160,GMRINFRA,EQ,N,85.35,82.6,84.8,84.0,84.4,84.4,341649737,28681484740.45,94.35,36.8,160287,INE776C01039,2024-02-29,2024-02-28T18:30:00.000Z,2024-02-29T12:01:03.283Z,2024-02-29T12:01:03.283Z,0,,83.95,29-Feb-2024,,
15,65e1c380c9980b7546122fab,GMRINFRA,EQ,N,86.2,84.25,84.5,85.55,85.95,84.0,26544078,2260746621.55,94.35,36.8,41582,INE776C01039,2024-03-01,2024-02-29T18:30:00.000Z,2024-03-01T12:01:04.095Z,2024-03-01T12:01:04.095Z,0,,85.17,01-Mar-2024,,
16,6592a97e1f3097105c5a1a2a,GMRINFRA,EQ,N,82.3,79.85,80.9,80.35,80.2,80.55,37830090,3071133749.05,82.3,36.0,73059,INE776C01039,2024-01-01,2023-12-31T18:30:00.000Z,2024-01-01T12:01:02.971Z,2024-01-01T12:01:02.971Z,0,,81.18,01-Jan-2024,,
17,6593fae5c4132a5d6c53fd82,GMRINFRA,EQ,N,80.75,77.25,80.75,79.6,79.85,80.35,28625842,2257802745.3,82.3,36.0,59427,INE776C01039,2024-01-02,2024-01-01T18:30:00.000Z,2024-01-02T12:00:37.769Z,2024-01-02T12:00:37.769Z,0,,78.87,02-Jan-2024,,
18,65954c7f0920b679ebe59dc6,GMRINFRA,EQ,N,83.0,78.85,79.95,81.8,81.8,79.6,36193954,2932293402.15,83.0,36.0,64588,INE776C01039,2024-01-03,2024-01-02T18:30:00.000Z,2024-01-03T12:01:03.575Z,2024-01-03T12:01:03.575Z,0,,81.02,03-Jan-2024,,
19,65969de18bc6e5de3cccebc3,GMRINFRA,EQ,N,84.95,81.75,82.2,84.45,84.6,81.8,91736436,7669245748.55,84.95,36.0,84013,INE776C01039,2024-01-04,2024-01-03T18:30:00.000Z,2024-01-04T12:00:33.172Z,2024-01-04T12:00:33.172Z,0,,83.6,04-Jan-2024,,
20,6597ef5e81dced1976cdd5c4,GMRINFRA,EQ,N,85.25,81.9,84.8,83.9,83.95,84.45,40706295,3423055505.35,85.25,36.0,67623,INE776C01039,2024-01-05,2024-01-04T18:30:00.000Z,2024-01-05T12:00:30.483Z,2024-01-05T12:00:30.483Z,0,,84.09,05-Jan-2024,,
21,659be3de0e4dca342c4d3973,GMRINFRA,EQ,N,88.7,80.0,80.0,86.9,87.1,83.9,202570408,17144367736.5,88.7,36.0,175207,INE776C01039,2024-01-08,2024-01-07T18:30:00.000Z,2024-01-08T12:00:30.025Z,2024-01-08T12:00:30.025Z,0,,84.63,08-Jan-2024,,
22,659d355ecd960f131d88dcaa,GMRINFRA,EQ,N,88.25,84.1,87.6,84.8,84.8,86.9,48744140,4166498069.05,88.7,36.0,78112,INE776C01039,2024-01-09,2024-01-08T18:30:00.000Z,2024-01-09T12:00:30.263Z,2024-01-09T12:00:30.263Z,0,,85.48,09-Jan-2024,,
23,659e86de3207e4f9f5290ff2,GMRINFRA,EQ,N,87.0,84.55,85.25,86.3,86.4,84.8,39105541,3365521566.1,88.7,36.0,68038,INE776C01039,2024-01-10,2024-01-09T18:30:00.000Z,2024-01-10T12:00:30.030Z,2024-01-10T12:00:30.030Z,0,,86.06,10-Jan-2024,,
24,659fd85eea2187a7f76e835e,GMRINFRA,EQ,N,87.25,83.3,86.6,85.3,85.1,86.3,80080582,6814781330.95,88.7,36.0,64514,INE776C01039,2024-01-11,2024-01-10T18:30:00.000Z,2024-01-11T12:00:30.224Z,2024-01-11T12:00:30.224Z,0,,85.1,11-Jan-2024,,
