,_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,SLBMH_TOT_VAL,VWAP,mTIMESTAMP,symChange,CA
0,65c613df2ce7cc3ec077373c,LTIM,EQ,N,5470.0,5362.0,5470.0,5453.3,5465.0,5420.8,196922,1067944451.3,6442.0,4132.2,27063,INE214T01019,2024-02-09,2024-02-08T18:30:00.000Z,2024-02-09T12:00:31.853Z,2024-02-09T12:00:31.853Z,0,,5423.19,09-Feb-2024,,
1,65ca085f3d2c61c7ee71c885,LTIM,EQ,N,5548.0,5464.55,5469.95,5516.5,5500.05,5453.3,421078,2325066974.55,6442.0,4132.2,42741,INE214T01019,2024-02-12,2024-02-11T18:30:00.000Z,2024-02-12T12:00:31.098Z,2024-02-12T12:00:31.098Z,0,,5521.7,12-Feb-2024,,
2,65cb59ddc77ecab986d05e46,LTIM,EQ,N,5575.0,5469.2,5515.95,5557.15,5570.0,5516.5,256808,1422726961.3,6442.0,4132.2,41517,INE214T01019,2024-02-13,2024-02-12T18:30:00.000Z,2024-02-13T12:00:29.486Z,2024-02-13T12:00:29.486Z,0,,5540.04,13-Feb-2024,,
3,65ccab80b3b7cee94bb06a68,LTIM,EQ,N,5517.0,5404.65,5479.95,5505.15,5516.75,5557.15,332342,1816979521.85,6442.0,4132.2,40373,INE214T01019,2024-02-14,2024-02-13T18:30:00.000Z,2024-02-14T12:01:04.277Z,2024-02-14T12:01:04.277Z,0,,5467.2,14-Feb-2024,,
4,65cdfd000b93c6793ba3ee9c,LTIM,EQ,N,5590.0,5511.05,5575.55,5522.3,5515.0,5505.15,226420,1255702513.8,6442.0,4132.2,38407,INE214T01019,2024-02-15,2024-02-14T18:30:00.000Z,2024-02-15T12:01:04.642Z,2024-02-15T12:01:04.642Z,0,,5545.9,15-Feb-2024,,
5,65cf4e8061aab0774d35b5d1,LTIM,EQ,N,5594.95,5495.35,5567.0,5580.4,5562.9,5522.3,319063,1770507766.6,6442.0,4132.2,37095,INE214T01019,2024-02-16,2024-02-15T18:30:00.000Z,2024-02-16T12:01:04.211Z,2024-02-16T12:01:04.211Z,0,,5549.09,16-Feb-2024,,
6,65d39094c64559bd8f410566,LTIM,EQ,N,5589.0,5509.9,5566.0,5514.05,5518.0,5580.4,156372,865074863.8,6442.0,4132.2,24605,INE214T01019,2024-02-19,2024-02-18T18:30:00.000Z,2024-02-19T17:32:04.577Z,2024-02-19T17:32:04.577Z,0,,5532.16,19-Feb-2024,,
7,65d4945f64fbe6f723b151dc,LTIM,EQ,N,5590.0,5481.45,5528.9,5504.35,5514.0,5514.05,413919,2288118019.6,6442.0,4132.2,40323,INE214T01019,2024-02-20,2024-02-19T18:30:00.000Z,2024-02-20T12:00:31.037Z,2024-02-20T12:00:31.037Z,0,,5527.94,20-Feb-2024,,
8,65d5e600f1fbe8e7f6d9d496,LTIM,EQ,N,5516.1,5407.1,5500.0,5420.1,5418.35,5504.35,567794,3103386612.2,6442.0,4132.2,49444,INE214T01019,2024-02-21,2024-02-20T18:30:00.000Z,2024-02-21T12:01:04.736Z,2024-02-21T12:01:04.736Z,0,,5465.69,21-Feb-2024,,
9,65d7378042995682861e4b5a,LTIM,EQ,N,5506.3,5406.05,5498.0,5486.75,5483.5,5420.1,536659,2923622405.95,6442.0,4132.2,65140,INE214T01019,2024-02-22,2024-02-21T18:30:00.000Z,2024-02-22T12:01:04.500Z,2024-02-22T12:01:04.500Z,0,,5447.82,22-Feb-2024,,
10,65da41652fa2c80c60111e35,LTIM,EQ,N,5555.15,5510.0,5546.0,5542.65,5539.95,5486.75,310531,1719429630.0,6442.0,4132.2,27744,INE214T01019,2024-02-23,2024-02-22T18:30:00.000Z,2024-02-24T19:20:05.769Z,2024-02-24T19:20:05.769Z,0,,5537.06,23-Feb-2024,,
11,65dc7d5e18353a15cfb0b783,LTIM,EQ,N,5537.9,5444.05,5537.9,5466.15,5465.0,5542.65,227438,1243617260.1,6442.0,4132.2,30122,INE214T01019,2024-02-26,2024-02-25T18:30:00.000Z,2024-02-26T12:00:30.769Z,2024-02-26T12:00:30.769Z,0,,5467.94,26-Feb-2024,,
12,65ddcee0dc3d5b40c3c2050d,LTIM,EQ,N,5508.1,5401.0,5465.0,5442.7,5435.0,5466.15,321866,1751500279.95,6442.0,4132.2,56241,INE214T01019,2024-02-27,2024-02-26T18:30:00.000Z,2024-02-27T12:00:32.231Z,2024-02-27T12:00:32.231Z,0,,5441.71,27-Feb-2024,,
13,65df20813ab4615b7638891d,LTIM,EQ,N,5466.0,5380.0,5449.0,5409.95,5386.0,5442.7,263858,1429453273.95,6442.0,4132.2,30797,INE214T01019,2024-02-28,2024-02-27T18:30:00.000Z,2024-02-28T12:01:05.379Z,2024-02-28T12:01:05.379Z,0,,5417.51,28-Feb-2024,,
14,65e0720079a06978a17fd1b7,LTIM,EQ,N,5429.95,5267.0,5412.0,5300.85,5320.0,5409.95,513879,2728485677.35,6442.0,4132.2,67278,INE214T01019,2024-02-29,2024-02-28T18:30:00.000Z,2024-02-29T12:01:05.009Z,2024-02-29T12:01:05.009Z,0,,5309.59,29-Feb-2024,,
