,_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,SLBMH_TOT_VAL,VWAP,mTIMESTAMP
0,65c613dd2ce7cc3ec0772e4b,MANKIND,EQ,N,2288.15,2191.0,2249.75,2241.85,2228.0,2249.75,765123,1709674569.55,2297.4,1242,67950,INE634S01028,2024-02-09,2024-02-08T18:30:00.000Z,2024-02-09T12:00:29.354Z,2024-02-09T12:00:29.354Z,0,,2234.51,09-Feb-2024
1,65ca085d3d2c61c7ee71bf77,MANKIND,EQ,N,2250.0,2191.0,2240.0,2211.15,2193.25,2241.85,316835,703973040.7,2297.4,1242,24789,INE634S01028,2024-02-12,2024-02-11T18:30:00.000Z,2024-02-12T12:00:29.349Z,2024-02-12T12:00:29.349Z,0,,2221.89,12-Feb-2024
2,65cb59dbc77ecab986d05585,MANKIND,EQ,N,2205.85,2140.0,2192.3,2176.5,2180.1,2211.15,489598,1063908422.15,2297.4,1242,40348,INE634S01028,2024-02-13,2024-02-12T18:30:00.000Z,2024-02-13T12:00:27.504Z,2024-02-13T12:00:27.504Z,0,,2173.02,13-Feb-2024
3,65ccab7eb3b7cee94bb06161,MANKIND,EQ,N,2219.95,2126.0,2161.0,2200.3,2187.0,2176.5,410378,895657016.85,2297.4,1242,30868,INE634S01028,2024-02-14,2024-02-13T18:30:00.000Z,2024-02-14T12:01:02.401Z,2024-02-14T12:01:02.401Z,0,,2182.52,14-Feb-2024
4,65cdfcfe0b93c6793ba3e5c4,MANKIND,EQ,N,2222.95,2178.8,2187.0,2211.5,2205.0,2200.3,564884,1242656804.25,2297.4,1242,22997,INE634S01028,2024-02-15,2024-02-14T18:30:00.000Z,2024-02-15T12:01:02.784Z,2024-02-15T12:01:02.784Z,0,,2199.84,15-Feb-2024
5,65cf4e7e61aab0774d35acf4,MANKIND,EQ,N,2250.0,2203.35,2231.0,2213.75,2209.0,2211.5,216251,482811499.4,2297.4,1242,18782,INE634S01028,2024-02-16,2024-02-15T18:30:00.000Z,2024-02-16T12:01:02.222Z,2024-02-16T12:01:02.222Z,0,,2232.64,16-Feb-2024
6,65d39092c64559bd8f40fd21,MANKIND,EQ,N,2249.0,2212.9,2249.0,2221.4,2221.75,2213.75,304462,676665606.25,2297.4,1242,24298,INE634S01028,2024-02-19,2024-02-18T18:30:00.000Z,2024-02-19T17:32:02.689Z,2024-02-19T17:32:02.689Z,0,,2222.5,19-Feb-2024
7,65d4945d64fbe6f723b14934,MANKIND,EQ,N,2245.0,2176.0,2245.0,2192.05,2192.0,2221.4,171574,376018360.9,2297.4,1242,16892,INE634S01028,2024-02-20,2024-02-19T18:30:00.000Z,2024-02-20T12:00:29.252Z,2024-02-20T12:00:29.252Z,0,,2191.58,20-Feb-2024
8,65d5e5fef1fbe8e7f6d9cb18,MANKIND,EQ,N,2234.0,2180.05,2208.95,2189.7,2189.0,2192.05,502200,1106310798.65,2297.4,1242,15069,INE634S01028,2024-02-21,2024-02-20T18:30:00.000Z,2024-02-21T12:01:02.826Z,2024-02-21T12:01:02.826Z,0,,2202.93,21-Feb-2024
9,65d7377e42995682861e4299,MANKIND,EQ,N,2218.8,2180.0,2218.8,2189.2,2189.0,2189.7,263236,578310615.05,2297.4,1242,16476,INE634S01028,2024-02-22,2024-02-21T18:30:00.000Z,2024-02-22T12:01:02.740Z,2024-02-22T12:01:02.740Z,0,,2196.93,22-Feb-2024
