,_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,SLBMH_TOT_VAL,VWAP,mTIMESTAMP
0,65c613de2ce7cc3ec07732d9,PAYTM,EQ,N,438.0,410.0,420.0,419.85,419.15,446.65,14918098,6254047060.5,998.3,395.0,260124,INE982J01020,2024-02-09,2024-02-08T18:30:00.000Z,2024-02-09T12:00:30.679Z,2024-02-09T12:00:30.679Z,0,,419.23,09-Feb-2024
1,65ca085e3d2c61c7ee71c406,PAYTM,EQ,N,435.5,411.2,430.05,422.2,416.8,419.85,10958969,4661259846.05,998.3,395.0,197729,INE982J01020,2024-02-12,2024-02-11T18:30:00.000Z,2024-02-12T12:00:30.201Z,2024-02-12T12:00:30.201Z,0,,425.34,12-Feb-2024
2,65cb59dcc77ecab986d059ed,PAYTM,EQ,N,408.0,380.0,403.0,380.15,380.0,422.2,11455765,4467688492.0,998.3,380.0,205033,INE982J01020,2024-02-13,2024-02-12T18:30:00.000Z,2024-02-13T12:00:28.569Z,2024-02-13T12:00:28.569Z,0,,389.99,13-Feb-2024
3,65ccab7fb3b7cee94bb065ea,PAYTM,EQ,N,360.15,342.15,355.0,342.15,342.15,380.15,15657904,5451059311.25,998.3,342.15,222622,INE982J01020,2024-02-14,2024-02-13T18:30:00.000Z,2024-02-14T12:01:03.339Z,2024-02-14T12:01:03.339Z,0,,348.13,14-Feb-2024
4,65cdfcff0b93c6793ba3ea37,PAYTM,EQ,N,338.45,325.05,326.7,325.05,325.05,342.15,10324976,3389040888.1,998.3,325.05,137126,INE982J01020,2024-02-15,2024-02-14T18:30:00.000Z,2024-02-15T12:01:03.758Z,2024-02-15T12:01:03.758Z,0,,328.24,15-Feb-2024
5,65cf4e7f61aab0774d35b15f,PAYTM,EQ,N,341.3,318.05,325.0,341.3,341.3,325.05,19113793,6352017533.05,998.3,318.05,189312,INE982J01020,2024-02-16,2024-02-15T18:30:00.000Z,2024-02-16T12:01:03.276Z,2024-02-16T12:01:03.276Z,0,,332.33,16-Feb-2024
6,65d39093c64559bd8f410140,PAYTM,EQ,N,358.35,358.35,358.35,358.35,358.35,341.3,1205875,432125306.25,998.3,318.05,7641,INE982J01020,2024-02-19,2024-02-18T18:30:00.000Z,2024-02-19T17:32:03.692Z,2024-02-19T17:32:03.692Z,0,,358.35,19-Feb-2024
7,65d4945e64fbe6f723b14d7c,PAYTM,EQ,N,376.25,376.25,376.25,376.25,376.25,358.35,1009337,379763046.25,998.3,318.05,5396,INE982J01020,2024-02-20,2024-02-19T18:30:00.000Z,2024-02-20T12:00:30.184Z,2024-02-20T12:00:30.184Z,0,,376.25,20-Feb-2024
8,65d5e5fff1fbe8e7f6d9cfe9,PAYTM,EQ,N,395.05,395.05,395.05,395.05,395.05,376.25,1021399,403503674.95,998.3,318.05,8245,INE982J01020,2024-02-21,2024-02-20T18:30:00.000Z,2024-02-21T12:01:03.833Z,2024-02-21T12:01:03.833Z,0,,395.05,21-Feb-2024
9,65d7377f42995682861e470c,PAYTM,EQ,N,402.95,380.6,400.0,388.35,388.8,395.05,21147933,8298320341.55,998.3,318.05,240682,INE982J01020,2024-02-22,2024-02-21T18:30:00.000Z,2024-02-22T12:01:03.635Z,2024-02-22T12:01:03.635Z,0,,392.39,22-Feb-2024
