,_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,SLBMH_TOT_VAL,VWAP,mTIMESTAMP,CA
0,65c613feb16d2a11203bca8d,GAIL,EQ,N,180.1,168.15,179.9,173.1,173.1,179.7,36193339,6229917203.8,186.5,92.2,159699,INE129A01019,2024-02-09,2024-02-08T18:30:00.000Z,2024-02-09T12:01:02.574Z,2024-02-09T12:01:02.574Z,0,,172.13,09-Feb-2024,
1,65ca087e1de075c7ebe80fb8,GAIL,EQ,N,174.7,167.5,173.1,168.8,168.6,173.1,18334992,3125097264.5,186.5,93.15,85619,INE129A01019,2024-02-12,2024-02-11T18:30:00.000Z,2024-02-12T12:01:02.594Z,2024-02-12T12:01:02.594Z,0,,170.44,12-Feb-2024,
2,65cb59fe3328eca8adc58441,GAIL,EQ,N,172.3,166.35,169.3,170.35,170.45,168.8,13204257,2236169745.25,186.5,93.15,72423,INE129A01019,2024-02-13,2024-02-12T18:30:00.000Z,2024-02-13T12:01:02.340Z,2024-02-13T12:01:02.340Z,0,,169.35,13-Feb-2024,
3,65ccab7e114f0fc8e2191e95,GAIL,EQ,N,176.75,167.25,169.0,176.25,176.35,170.35,15132347,2617849010.55,186.5,93.15,84123,INE129A01019,2024-02-14,2024-02-13T18:30:00.000Z,2024-02-14T12:01:02.203Z,2024-02-14T12:01:02.203Z,0,,173.0,14-Feb-2024,
4,65cdfcfea24787a92a80ddd5,GAIL,EQ,N,186.5,175.65,177.0,184.25,183.9,176.25,43688826,7978745374.1,186.5,93.15,202437,INE129A01019,2024-02-15,2024-02-14T18:30:00.000Z,2024-02-15T12:01:02.525Z,2024-02-15T12:01:02.525Z,0,,182.63,15-Feb-2024,
5,65cf4e7d2c2e3f1498b00638,GAIL,EQ,N,185.65,181.75,185.4,182.6,182.4,184.25,19961823,3669257155.5,186.5,93.15,101879,INE129A01019,2024-02-16,2024-02-15T18:30:00.000Z,2024-02-16T12:01:01.760Z,2024-02-16T12:01:01.760Z,0,,183.81,16-Feb-2024,
6,65d3a6e02affe4de647d789a,GAIL,EQ,N,187.85,182.15,183.0,183.85,183.8,182.6,19606057,3634067686.55,187.85,93.15,109532,INE129A01019,2024-02-19,2024-02-18T18:30:00.000Z,2024-02-19T19:07:12.101Z,2024-02-19T19:07:12.101Z,0,,185.35,19-Feb-2024,
7,65d4947ed2da93536de52ec2,GAIL,EQ,N,186.0,182.55,183.5,184.0,183.85,183.85,11867776,2183286851.25,187.85,93.15,65483,INE129A01019,2024-02-20,2024-02-19T18:30:00.000Z,2024-02-20T12:01:02.397Z,2024-02-20T12:01:02.397Z,0,,183.97,20-Feb-2024,
8,65d5e5feab8622318b86db52,GAIL,EQ,N,185.45,179.3,184.7,180.3,180.4,184.0,13671880,2497054273.4,187.85,93.15,71357,INE129A01019,2024-02-21,2024-02-20T18:30:00.000Z,2024-02-21T12:01:02.369Z,2024-02-21T12:01:02.369Z,0,,182.64,21-Feb-2024,
9,65d7377e26ea36bd130975f4,GAIL,EQ,N,183.2,177.7,181.0,182.25,182.4,180.3,11766044,2133903358.25,187.85,93.15,64395,INE129A01019,2024-02-22,2024-02-21T18:30:00.000Z,2024-02-22T12:01:02.731Z,2024-02-22T12:01:02.731Z,0,,181.36,22-Feb-2024,
10,65d888fe36a4e86c36fe65d1,GAIL,EQ,N,183.1,179.1,183.0,179.9,179.8,182.25,8219010,1484557170.2,187.85,93.15,68470,INE129A01019,2024-02-23,2024-02-22T18:30:00.000Z,2024-02-23T12:01:02.142Z,2024-02-23T12:01:02.142Z,0,,180.62,23-Feb-2024,
11,65dc7d7e5707e970d05a9acc,GAIL,EQ,N,183.5,177.7,180.0,182.1,182.0,179.9,14909208,2702060988.2,187.85,101.9,80066,INE129A01019,2024-02-26,2024-02-25T18:30:00.000Z,2024-02-26T12:01:02.309Z,2024-02-26T12:01:02.309Z,0,,181.23,26-Feb-2024,
12,65ddcefe3610846fc2bdeeab,GAIL,EQ,N,183.25,178.85,182.0,180.5,180.45,182.1,9486385,1720901997.75,187.85,101.9,69626,INE129A01019,2024-02-27,2024-02-26T18:30:00.000Z,2024-02-27T12:01:02.448Z,2024-02-27T12:01:02.448Z,0,,181.41,27-Feb-2024,
