,_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,SLBMH_TOT_VAL,VWAP,mTIMESTAMP,CA,symChange
0,65c613dd2ce7cc3ec0772f52,SHRIRAMFIN,EQ,N,2354.05,2291.5,2347.95,2334.1,2336.95,2347.95,580610,1349439465.9,2496.55,1190.0,47658,INE721A01013,2024-02-09,2024-02-08T18:30:00.000Z,2024-02-09T12:00:29.600Z,2024-02-09T12:00:29.600Z,0,,2324.18,09-Feb-2024,,
1,65ca085d3d2c61c7ee71c084,SHRIRAMFIN,EQ,N,2352.95,2254.85,2335.0,2262.25,2267.0,2334.1,569008,1301703430.25,2496.55,1190.0,40439,INE721A01013,2024-02-12,2024-02-11T18:30:00.000Z,2024-02-12T12:00:29.556Z,2024-02-12T12:00:29.556Z,0,,2287.67,12-Feb-2024,,
2,65cb59dbc77ecab986d05685,SHRIRAMFIN,EQ,N,2343.5,2235.25,2267.0,2330.65,2335.0,2262.25,1796922,4155543385.75,2496.55,1190.0,140299,INE721A01013,2024-02-13,2024-02-12T18:30:00.000Z,2024-02-13T12:00:27.720Z,2024-02-13T12:00:27.720Z,0,,2312.59,13-Feb-2024,,
3,65ccab7eb3b7cee94bb06260,SHRIRAMFIN,EQ,N,2404.6,2280.2,2285.0,2393.3,2403.0,2330.65,737277,1741164915.5,2496.55,1190.0,71327,INE721A01013,2024-02-14,2024-02-13T18:30:00.000Z,2024-02-14T12:01:02.638Z,2024-02-14T12:01:02.638Z,0,,2361.62,14-Feb-2024,,
4,65cdfcfe0b93c6793ba3e6c2,SHRIRAMFIN,EQ,N,2463.4,2412.0,2437.2,2437.6,2438.0,2393.3,1144317,2787837374.25,2496.55,1190.0,80242,INE721A01013,2024-02-15,2024-02-14T18:30:00.000Z,2024-02-15T12:01:03.003Z,2024-02-15T12:01:03.003Z,0,,2436.25,15-Feb-2024,,
5,65cf4e7e61aab0774d35adee,SHRIRAMFIN,EQ,N,2459.8,2433.85,2440.0,2449.4,2436.45,2437.6,919312,2253098292.7,2496.55,1190.0,68017,INE721A01013,2024-02-16,2024-02-15T18:30:00.000Z,2024-02-16T12:01:02.443Z,2024-02-16T12:01:02.443Z,0,,2450.85,16-Feb-2024,,
6,65d39092c64559bd8f40fe09,SHRIRAMFIN,EQ,N,2461.95,2416.55,2449.4,2439.9,2435.0,2449.4,690282,1685989819.55,2496.55,1190.0,52496,INE721A01013,2024-02-19,2024-02-18T18:30:00.000Z,2024-02-19T17:32:02.910Z,2024-02-19T17:32:02.910Z,0,,2442.47,19-Feb-2024,,
7,65d4945d64fbe6f723b14a1e,SHRIRAMFIN,EQ,N,2444.85,2395.3,2439.9,2416.65,2416.1,2439.9,879341,2124366099.25,2496.55,1190.0,89076,INE721A01013,2024-02-20,2024-02-19T18:30:00.000Z,2024-02-20T12:00:29.433Z,2024-02-20T12:00:29.433Z,0,,2415.86,20-Feb-2024,,
8,65d5e5fff1fbe8e7f6d9cc21,SHRIRAMFIN,EQ,N,2415.05,2345.05,2413.8,2355.95,2359.0,2416.65,733175,1748406747.5,2496.55,1190.0,44338,INE721A01013,2024-02-21,2024-02-20T18:30:00.000Z,2024-02-21T12:01:03.026Z,2024-02-21T12:01:03.026Z,0,,2384.71,21-Feb-2024,,
9,65d7377e42995682861e438d,SHRIRAMFIN,EQ,N,2399.7,2333.05,2359.1,2395.2,2393.8,2355.95,514244,1221322675.65,2496.55,1190.0,42805,INE721A01013,2024-02-22,2024-02-21T18:30:00.000Z,2024-02-22T12:01:02.927Z,2024-02-22T12:01:02.927Z,0,,2374.99,22-Feb-2024,,
