,_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,SLBMH_TOT_VAL,VWAP,mTIMESTAMP,CA,symChange
0,65c613feb16d2a11203bca24,ZYDUSLIFE,EQ,N,820.95,768.8,806.0,805.05,804.3,802.05,2721642,2174645251.25,820.95,446.95,96312,INE010B01027,2024-02-09,2024-02-08T18:30:00.000Z,2024-02-09T12:01:02.481Z,2024-02-09T12:01:02.481Z,0,,799.02,09-Feb-2024,,
1,65ca087e1de075c7ebe80f58,ZYDUSLIFE,EQ,N,863.35,803.05,809.75,856.65,855.0,805.05,6951210,5908180525.4,863.35,452.2,180749,INE010B01027,2024-02-12,2024-02-11T18:30:00.000Z,2024-02-12T12:01:02.517Z,2024-02-12T12:01:02.517Z,0,,849.95,12-Feb-2024,,
2,65cb59fe3328eca8adc583e0,ZYDUSLIFE,EQ,N,866.85,844.85,856.0,857.8,859.0,856.65,1510782,1294082424.8,866.85,452.2,52327,INE010B01027,2024-02-13,2024-02-12T18:30:00.000Z,2024-02-13T12:01:02.253Z,2024-02-13T12:01:02.253Z,0,,856.56,13-Feb-2024,,
3,65ccab7e114f0fc8e2191e32,ZYDUSLIFE,EQ,N,872.0,844.65,846.0,867.8,872.0,857.8,884541,760705130.4,872.0,452.2,39213,INE010B01027,2024-02-14,2024-02-13T18:30:00.000Z,2024-02-14T12:01:02.108Z,2024-02-14T12:01:02.108Z,0,,860.0,14-Feb-2024,,
4,65cdfcfea24787a92a80dd6c,ZYDUSLIFE,EQ,N,885.0,863.45,872.0,878.95,882.7,867.8,622903,543496258.65,885.0,452.2,27415,INE010B01027,2024-02-15,2024-02-14T18:30:00.000Z,2024-02-15T12:01:02.413Z,2024-02-15T12:01:02.413Z,0,,872.52,15-Feb-2024,,
5,65cf4e7d2c2e3f1498b005d9,ZYDUSLIFE,EQ,N,893.75,880.35,885.65,891.9,892.0,878.95,826132,734694627.2,893.75,452.2,44240,INE010B01027,2024-02-16,2024-02-15T18:30:00.000Z,2024-02-16T12:01:01.669Z,2024-02-16T12:01:01.669Z,0,,889.32,16-Feb-2024,,
6,65d3a6e02affe4de647d783f,ZYDUSLIFE,EQ,N,910.0,892.4,897.15,907.55,910.0,891.9,1032096,930622514.5,910.0,452.2,39987,INE010B01027,2024-02-19,2024-02-18T18:30:00.000Z,2024-02-19T19:07:12.011Z,2024-02-19T19:07:12.011Z,0,,901.68,19-Feb-2024,,
7,65d4947ed2da93536de52e5e,ZYDUSLIFE,EQ,N,912.8,892.5,908.0,895.75,895.85,907.55,1009373,908344303.45,912.8,452.2,36954,INE010B01027,2024-02-20,2024-02-19T18:30:00.000Z,2024-02-20T12:01:02.251Z,2024-02-20T12:01:02.251Z,0,,899.91,20-Feb-2024,,
8,65d5e5feab8622318b86dae6,ZYDUSLIFE,EQ,N,902.65,889.0,896.95,893.8,896.25,895.75,795916,712818376.25,912.8,452.2,33531,INE010B01027,2024-02-21,2024-02-20T18:30:00.000Z,2024-02-21T12:01:02.256Z,2024-02-21T12:01:02.256Z,0,,895.59,21-Feb-2024,,
9,65d7377e26ea36bd13097591,ZYDUSLIFE,EQ,N,907.5,889.0,896.0,904.3,907.05,893.8,940029,846155324.15,912.8,452.2,34974,INE010B01027,2024-02-22,2024-02-21T18:30:00.000Z,2024-02-22T12:01:02.335Z,2024-02-22T12:01:02.335Z,0,,900.14,22-Feb-2024,,
